date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:55	79321/79321	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202023%2013:47:26%20GMT	https://html.fleexstudio.com/advisr/single-index1.html	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/single-index1.html	(from )
16:27:56	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Nov%202023%2010:57:55%20GMT	https://html.fleexstudio.com/robots.txt		(from )
16:27:56	4807/4807	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2015%20Jul%202023%2002:11:12%20GMT	https://html.fleexstudio.com/advisr/assets/img/logo/titel2.svg	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/img/logo/titel2.svg	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:56	193528/193528	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2004:19:30%20GMT	https://html.fleexstudio.com/advisr/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/bootstrap.min.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:57	6951/6951	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2004:19:30%20GMT	https://html.fleexstudio.com/advisr/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/magnific-popup.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:57	465644/465644	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2004:19:30%20GMT	https://html.fleexstudio.com/advisr/assets/css/font-awesome-pro.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/font-awesome-pro.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:57	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2004:19:30%20GMT	https://html.fleexstudio.com/advisr/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/owl.carousel.min.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:57	1776/1776	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2004:19:30%20GMT	https://html.fleexstudio.com/advisr/assets/css/slick-slider.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/slick-slider.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:58	3480/3480	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2004:19:30%20GMT	https://html.fleexstudio.com/advisr/assets/css/meanmenu.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/meanmenu.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
16:27:58	18653/18653	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2005:03:06%20GMT	https://html.fleexstudio.com/advisr/assets/css/typography.css	C:/My%20Web%20Sites/Advisr/html.fleexstudio.com/advisr/assets/css/typography.css	(from https://html.fleexstudio.com/advisr/single-index1.html)
